"Notes","Sex","Sex Code","Single-Year Ages","Single-Year Ages Code",Deaths,Population,Crude Rate
,"Female","F","40 years","40",3765,2220019,169.6
,"Female","F","41 years","41",3863,2216440,174.3
,"Female","F","42 years","42",4062,2184254,186.0
,"Female","F","43 years","43",4216,2174636,193.9
,"Female","F","44 years","44",4445,2090544,212.6
,"Female","F","45 years","45",4471,2044425,218.7
,"Female","F","46 years","46",4708,2023001,232.7
,"Female","F","47 years","47",4789,1952527,245.3
,"Female","F","48 years","48",5137,1973769,260.3
,"Female","F","49 years","49",5371,1936933,277.3
,"Female","F","50 years","50",6016,1963376,306.4
,"Female","F","51 years","51",6836,2052848,333.0
,"Female","F","52 years","52",7714,2168568,355.7
,"Female","F","53 years","53",8252,2134513,386.6
,"Female","F","54 years","54",8599,2056712,418.1
,"Female","F","55 years","55",9227,2014056,458.1
,"Female","F","56 years","56",9906,2026928,488.7
,"Female","F","57 years","57",11301,2057408,549.3
,"Female","F","58 years","58",12424,2145182,579.2
,"Female","F","59 years","59",13912,2196292,633.4
,"Female","F","60 years","60",15366,2200363,698.3
,"Female","F","61 years","61",16712,2208227,756.8
,"Female","F","62 years","62",18273,2205798,828.4
,"Female","F","63 years","63",19554,2165952,902.8
,"Female","F","64 years","64",20215,2130360,948.9
,"Female","F","65 years","65",21733,2113784,1028.2
,"Female","F","66 years","66",22816,2079118,1097.4
,"Female","F","67 years","67",23565,1994754,1181.3
,"Female","F","68 years","68",24581,1951621,1259.5
,"Female","F","69 years","69",25858,1886191,1370.9
,"Female","F","70 years","70",26525,1809211,1466.1
,"Female","F","71 years","71",28073,1740156,1613.2
,"Female","F","72 years","72",29326,1660982,1765.6
,"Female","F","73 years","73",30785,1580761,1947.5
,"Female","F","74 years","74",33101,1533626,2158.3
,"Female","F","75 years","75",35820,1490475,2403.3
,"Female","F","76 years","76",39585,1551093,2552.1
,"Female","F","77 years","77",33524,1104696,3034.7
,"Female","F","78 years","78",34896,1055637,3305.7
,"Female","F","79 years","79",38092,1019493,3736.4
,"Female","F","80 years","80",42154,1019564,4134.5
,"Female","F","81 years","81",40305,865416,4657.3
,"Female","F","82 years","82",40120,769057,5216.8
,"Female","F","83 years","83",40273,695974,5786.6
,"Female","F","84 years","84",41703,634193,6575.8
,"Female","F","85 years","85",42978,Not Applicable,Not Applicable
,"Female","F","86 years","86",42311,Not Applicable,Not Applicable
,"Female","F","87 years","87",42810,Not Applicable,Not Applicable
,"Female","F","88 years","88",43592,Not Applicable,Not Applicable
,"Female","F","89 years","89",41391,Not Applicable,Not Applicable
,"Female","F","90 years","90",41376,Not Applicable,Not Applicable
,"Female","F","91 years","91",40707,Not Applicable,Not Applicable
,"Female","F","92 years","92",39338,Not Applicable,Not Applicable
